City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Evensk,RU,61.95,159.2333,-0.87,91,26,3.89,scattered clouds
245,Dharmadam,IN,11.7833,75.4333,76.66,90,67,5.08,broken clouds
246,Timra,SE,62.487,17.3257,31.68,93,6,3.44,fog
247,Imeni Babushkina,RU,59.7573,43.1285,0.73,99,40,3.02,scattered clouds
248,San Policarpo,PH,12.1791,125.5072,80.53,82,77,5.82,broken clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,35.78,60,100,29.57,light rain
250,Brainerd,US,46.358,-94.2008,48.22,49,0,9.22,clear sky
251,Ekhabi,RU,53.5102,142.9671,19.18,95,100,5.61,overcast clouds
252,Walvis Bay,NA,-22.9575,14.5053,61.75,82,0,1.14,clear sky
253,Berlevag,NO,70.8578,29.0864,35.6,60,0,4.61,clear sky
254,Fier,AL,40.7239,19.5561,44.98,73,56,3.78,broken clouds
255,Thompson,CA,55.7435,-97.8558,19.56,53,20,6.91,few clouds
256,Luderitz,NA,-26.6481,15.1594,63.81,58,0,16.6,clear sky
257,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,4.61,light intensity shower rain
258,Bolshoye Nagatkino,RU,54.5196,47.9679,6.08,98,51,9.84,broken clouds
259,Codrington,AU,-38.2667,141.9667,65.86,80,74,11.32,broken clouds
260,Parrita,CR,9.5201,-84.3225,83.97,67,23,5.26,few clouds
261,Lexington,US,37.9887,-84.4777,69.8,21,0,6.91,clear sky
262,Nantucket,US,41.2835,-70.0995,50.11,82,100,9.53,overcast clouds
263,Husavik,IS,66.0449,-17.3389,28.26,81,55,15.17,broken clouds
264,Guerrero Negro,MX,27.9769,-114.0611,75.34,36,0,13.22,clear sky
265,Richards Bay,ZA,-28.783,32.0377,68.2,88,68,9.51,broken clouds
266,Nabire,ID,-3.3667,135.4833,77.05,86,99,1.66,overcast clouds
267,Prince Rupert,CA,54.3161,-130.3201,44.69,81,100,12.66,light rain
268,Wanning,CN,18.8003,110.3967,70.27,90,91,3.02,overcast clouds
269,Sur,OM,22.5667,59.5289,80.53,42,56,9.44,broken clouds
270,Faya,SA,18.3851,42.4509,57.31,78,46,4.23,scattered clouds
271,Sann,PK,26.0418,68.1378,75.11,36,83,6.87,broken clouds
272,Chaihe,CN,44.7667,129.7,25.72,96,100,2.35,light snow
273,Talnakh,RU,69.4865,88.3972,-2.79,97,100,8.77,overcast clouds
274,Havelock,US,34.8791,-76.9013,69.76,56,40,10.36,scattered clouds
275,Nioro,GM,13.35,-15.75,84.34,17,7,13.0,clear sky
276,Vidim,RU,56.4088,103.1106,-3.44,99,100,3.69,overcast clouds
277,Formosa,AR,-26.1775,-58.1781,85.98,23,0,8.05,smoke
278,Sapu,CN,36.174,107.7082,55.69,31,82,6.13,broken clouds
279,Inhambane,MZ,-23.865,35.3833,76.39,91,50,9.46,light rain
280,Huesca,ES,42.1362,-0.4087,51.06,90,0,8.99,clear sky
281,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,14.97,light rain
282,Esperance,AU,-33.8667,121.9,62.44,90,33,7.76,scattered clouds
283,Palmer,US,42.1584,-72.3287,65.57,29,75,6.91,broken clouds
284,Ahipara,NZ,-35.1667,173.1667,71.83,65,94,5.95,overcast clouds
285,Sitka,US,57.0531,-135.33,39.79,97,100,2.35,light rain
286,Itarema,BR,-2.9248,-39.9167,78.19,84,97,9.19,moderate rain
287,Liuli,TZ,-11.0833,34.6333,76.6,79,100,3.13,light rain
288,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.78,80,96,10.13,overcast clouds
289,Arti,RU,56.4234,58.5328,-0.24,98,28,5.19,scattered clouds
290,Asau,RO,46.4333,26.4,37.96,55,18,5.19,few clouds
291,Tabas,IR,33.5959,56.9244,75.07,33,99,4.16,overcast clouds
292,Vila Do Maio,CV,15.1333,-23.2167,68.79,72,9,23.71,clear sky
293,Kupang,ID,-10.1667,123.5833,77.97,89,82,5.35,broken clouds
